country,year,co2,co2_per_capita,renewable_share
Australia,1990,278.0610046386719,16.235902786254883,9.970221519470217
Australia,1991,279.4373779296875,16.10293960571289,10.368502616882324
Australia,1992,284.4334411621094,16.207693099975586,10.299596786499023
Australia,1993,288.7804260253906,16.294191360473633,10.323702812194824
Australia,1994,293.61328125,16.40532875061035,9.914865493774414
Australia,1995,304.9623107910156,16.853084564208984,9.40773105621338
Australia,1996,311.85089111328125,17.03609275817871,9.408695220947266
Australia,1997,320.2425231933594,17.30581283569336,8.98914909362793
Australia,1998,334.03778076171875,17.861351013183594,8.488753318786621
Australia,1999,343.8761901855469,18.18490600585937,8.457535743713379
Australia,2000,349.89764404296875,18.28815650939941,8.089286804199219
Australia,2001,357.66778564453125,18.46938705444336,7.6964240074157715
Australia,2002,362.4249267578125,18.495450973510746,8.031679153442383
Australia,2003,370.784423828125,18.70810890197754,8.258463859558105
Australia,2004,382.0048828125,19.055768966674805,8.454390525817871
Australia,2005,385.0815124511719,18.974681854248047,8.979804039001465
Australia,2006,391.3725280761719,19.00737190246582,8.882725715637207
Australia,2007,398.896240234375,19.036264419555664,8.343271255493164
Australia,2008,404.279296875,18.91754913330078,7.791996479034424
Australia,2009,406.9770812988281,18.68323135375977,8.067227363586426
Australia,2010,405.0259399414063,18.29254722595215,8.829740524291992
Australia,2011,403.8743896484375,17.96611976623535,11.943967819213867
Australia,2012,405.005126953125,17.72245979309082,12.076119422912598
Australia,2013,397.8498840332031,17.121932983398438,14.237056732177734
Australia,2014,392.6095886230469,16.639102935791016,13.22834587097168
Australia,2015,400.5891723632813,16.727460861206055,14.09504222869873
Australia,2016,409.6663208007813,16.837934494018555,16.16388511657715
Australia,2017,413.4078369140625,16.716150283813477,15.133026123046877
Australia,2018,414.7805786132813,16.512163162231445,18.84400177001953
Australia,2019,414.9253234863281,16.28261947631836,20.782249450683597
Australia,2020,398.5469055175781,15.481285095214844,24.242881774902344
Australia,2021,388.4722900390625,14.96632957458496,28.89137840270996
Australia,2022,384.0784301757813,14.658929824829102,32.038692474365234
Brazil,1990,218.65768432617188,1.4660919904708862,94.50091552734376
Brazil,1991,229.39358520507807,1.511911153793335,94.62629699707033
Brazil,1992,233.60086059570312,1.5141841173171997,94.42030334472656
Brazil,1993,244.3055419921875,1.5581248998641968,95.25633239746094
Brazil,1994,254.00225830078125,1.5948402881622314,95.40560150146484
Brazil,1995,268.6775207519531,1.6612199544906616,94.15728759765624
Brazil,1996,289.3109130859375,1.761914849281311,93.56040954589844
Brazil,1997,306.9490661621094,1.841749668121338,92.97835540771484
Brazil,1998,317.35943603515625,1.876094102859497,92.92328643798828
Brazil,1999,327.2556457519531,1.906622648239136,90.03717041015625
Brazil,2000,340.18280029296875,1.9548683166503904,89.49073028564453
Brazil,2001,346.1657409667969,1.9634904861450195,84.28854370117188
Brazil,2002,347.76495361328125,1.948225021362305,85.73990631103516
Brazil,2003,344.6449279785156,1.9080932140350344,87.16484832763672
Brazil,2004,361.43402099609375,1.978561520576477,86.03577423095703
Brazil,2005,364.37054443359375,1.9728968143463133,87.1287841796875
Brazil,2006,368.8709411621094,1.9762380123138428,86.75408172607422
Brazil,2007,390.5734252929688,2.0714328289031982,88.2264404296875
Brazil,2008,412.6378479003906,2.167587995529175,84.31495666503906
Brazil,2009,389.77532958984375,2.0292346477508545,89.04690551757812
Brazil,2010,440.26904296875,2.2729203701019287,84.80225372314453
Brazil,2011,461.9113159179688,2.3653223514556885,87.19346618652344
Brazil,2012,497.46820068359375,2.526808261871338,82.56289672851562
Brazil,2013,531.56884765625,2.6782214641571045,76.8249740600586
Brazil,2014,556.5255126953125,2.7814435958862305,73.27914428710938
Brazil,2015,528.1735229492188,2.618927240371704,74.20770263671875
Brazil,2016,491.7448425292969,2.419788360595703,80.46778869628906
Brazil,2017,497.2545471191406,2.4291460514068604,79.24726867675781
Brazil,2018,476.6005554199219,2.3123908042907715,82.35753631591797
Brazil,2019,476.7237548828125,2.297957181930542,81.38568878173828
Brazil,2020,447.9993896484375,2.147021770477295,83.16686248779297
Brazil,2021,496.5619812011719,2.3696553707122803,77.37202453613281
Brazil,2022,480.0582885742188,2.282661199569702,87.70305633544922
Canada,1990,458.0178527832031,16.481725692749023,62.34778594970703
Canada,1991,449.7764587402344,15.97378921508789,61.39350509643555
Canada,1992,463.3927612304688,16.259357452392578,61.6436882019043
Canada,1993,464.0715942382813,16.096473693847656,61.688438415527344
Canada,1994,478.4678649902344,16.41546630859375,60.32848739624024
Canada,1995,491.3053283691406,16.677518844604492,61.172176361083984
Canada,1996,507.7752075195313,17.05820655822754,63.3615837097168
Canada,1997,522.0186767578125,17.366418838500977,62.360816955566406
Canada,1998,529.6148071289062,17.46176528930664,60.486572265625
Canada,1999,543.8594970703125,17.773502349853516,61.29030227661133
Canada,2000,566.6798706054688,18.34402275085449,60.60746383666992
Canada,2001,558.9805908203125,17.90825080871582,58.1087532043457
Canada,2002,564.2561645507812,17.892684936523438,59.97932815551758
Canada,2003,581.1903686523438,18.255483627319336,58.862422943115234
Canada,2004,576.286376953125,17.934589385986328,58.33750915527344
Canada,2005,570.3961181640625,17.583017349243164,60.06607437133789
Canada,2006,566.3153686523438,17.2872314453125,59.87870788574219
Canada,2007,589.9562377929688,17.827667236328125,59.86376190185547
Canada,2008,574.21435546875,17.16681671142578,61.29646682739258
Canada,2009,541.1298828125,15.997278213500977,62.61586380004883
Canada,2010,554.3074340820312,16.20928955078125,61.0628776550293
Canada,2011,562.8324584960938,16.287805557250977,62.15081405639648
Canada,2012,561.76953125,16.086172103881836,63.3691520690918
Canada,2013,568.5897216796875,16.11035919189453,63.36531066894531
Canada,2014,564.938232421875,15.853792190551758,62.36734008789063
Canada,2015,563.0025634765625,15.65538215637207,63.84098815917969
Canada,2016,553.70703125,15.231253623962402,64.56462860107422
Canada,2017,566.6602783203125,15.394822120666504,65.81907653808594
Canada,2018,575.0907592773438,15.420051574707031,65.54597473144531
Canada,2019,579.0070190429688,15.324564933776855,65.38203430175781
Canada,2020,524.2079467773438,13.732821464538574,66.59500885009766
Canada,2021,537.4786376953125,13.977163314819336,66.73666381835938
Canada,2022,547.6576538085938,14.107158660888672,68.1348648071289
China,1990,2483.534423828125,2.1528878211975098,20.41403579711914
China,1991,2619.143310546875,2.2370765209198,18.413997650146484
China,1992,2731.290283203125,2.3057148456573486,17.366554260253906
China,1993,2914.284423828125,2.4340295791625977,18.750757217407227
China,1994,3093.890869140625,2.559042930603028,18.13729286193848
China,1995,3351.197265625,2.7465813159942627,19.286134719848636
China,1996,3499.310546875,2.8427844047546387,17.534835815429688
China,1997,3512.349853515625,2.829939365386963,17.516706466674805
China,1998,3355.3359375,2.682450771331787,17.287023544311523
China,1999,3549.948974609375,2.817024946212769,16.105117797851562
China,2000,3643.8095703125,2.8700878620147705,16.63912582397461
China,2001,3724.1142578125,2.912364959716797,18.9581241607666
China,2002,4098.1806640625,3.1846189498901367,17.61839485168457
China,2003,4835.25146484375,3.7351772785186768,15.036272048950195
China,2004,5210.96142578125,4.001965999603272,16.222410202026367
China,2005,5881.99072265625,4.489976406097412,16.173118591308594
China,2006,6486.1845703125,4.9210309982299805,15.588403701782228
China,2007,6974.6630859375,5.260666370391846,15.258384704589844
China,2008,7492.404296875,5.61724853515625,19.025333404541016
China,2009,7881.49072265625,5.870657444000244,17.885717391967773
China,2010,8610.0478515625,6.3704447746276855,18.691469192504883
China,2011,9520.1533203125,6.998823165893555,16.81257438659668
China,2012,9767.310546875,7.131917953491211,20.04114151000977
China,2013,9942.37109375,7.209799289703369,20.129684448242188
China,2014,9976.02734375,7.187588214874268,22.24939346313477
China,2015,9858.0400390625,7.060954570770264,23.96836853027344
China,2016,9748.1748046875,6.94288444519043,24.828800201416016
China,2017,10000.013671875,7.080383777618408,25.241504669189453
China,2018,10346.7900390625,7.291560649871826,25.611974716186523
China,2019,10713.5146484375,7.526070594787598,26.849586486816406
China,2020,10896.5205078125,7.640749931335449,28.088319778442383
China,2021,11284.4013671875,7.91089916229248,28.69375991821289
China,2022,11711.8076171875,8.21777629852295,30.181346893310547
Germany,1990,1054.7958984375,13.233256340026855,3.5222954750061035
Germany,1991,1016.9295043945312,12.663625717163086,3.1677920818328857
Germany,1992,969.4644165039062,11.978323936462402,3.696348428726196
Germany,1993,959.3858642578124,11.773516654968262,3.940697908401489
Germany,1994,943.2276611328124,11.534621238708496,4.496689319610596
Germany,1995,939.93359375,11.459824562072754,4.883931636810303
Germany,1996,959.6901245117188,11.666092872619627,4.842857837677002
Germany,1997,931.5081176757812,11.306132316589355,4.218752861022949
